what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310341220641
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310341227516
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310341230266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310341242579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310341253625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310341256547
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310341260407
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310341309501
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310341309673
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310341309829
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310341310016
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310341310173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310341350782
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310341350923
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310341362532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310341366517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310341379064
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310341379236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310341411986
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310341950379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310341964051
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310341975239
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310342078551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310342078770
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310342296864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310342296957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310342297286
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310342301411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310342349973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310342377192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310342382379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310342398739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310342399020
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310342401067
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310342456957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310342458270
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310346669239
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310346676973
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310346690864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310346710067
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310346717239
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310346722145
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310346729598
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310346737129
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1310346742832
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310346904973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310346926457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310346927395
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310346985911
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1310347080098
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310347082536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310347108036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1310347108176
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310347114301
